# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C6H6N2O3	C03277	Imidazol-5-yl-pyruvate
C10H19N5O5	C19843	L-Asp(4-L-Arg)
C20H20NO4	C06163	(S)-cis-N-Methylstylopine
C12H5Cl5O	C14729	2',3,3',4',5-Pentachloro-4-biphenylol
C18H21FO	C15463	(R*,S*)-4-[1-Ethyl-2-(4-fluorophenyl)butyl]phenol
C19H32O4	C20851	Dihydromonacolin L acid
C25H24O9	C12403	104-1
C29H40N2O4	C09421	Emetine
C53H78O17	C17553	Condurango glycoside A
C10H16	C09839	Car-3-ene
C11H12N2O2	C14916	Nirvanol
C2H3Br	C19184	Vinyl bromide
C20H28O4	C11853	Gibberellin A14 aldehyde
C4H11NO2	C06772	Diethanolamine
C30H50O	C20192	Marneral
C8H10	C06756	p-Xylene
C10H7NO4	C21306	3,4-Dihydro-2-methylene-3-oxo-2H-1,4-benzoxazine-5-carboxylate
C10H16N5O14P3	C19967	8-Oxo-dGTP
C12H6Cl4O2	C14194	3,3',5,5'-Tetrachloro-4,4'-biphenyldiol
C20H28O4	C09067	Callicarpone
C24H39N5O6	C15701	Syringolin A
C18H19NO3	C09340	(-)-Apoglaziovine
C13H24N2O11	C08504	Macrozamin
C29H37NO5	C10604	Lythramine
C20H30O3	C02645	4,5-Leukotriene A4
C9H8O2	C05608	4-Hydroxycinnamyl aldehyde
C14H10N2O4	C21410	(5aS)-5,5a-Dihydrophenazine-1,6-dicarboxylate
C17H28N4O15P2	C22575	UDP-2-acetamido-4-amino-2,4,6-trideoxy-D-galactose
C10H16O	C02759	alpha-Pinene-oxide
C20H28O3	C15192	9beta,11beta-Epoxy-17beta-hydroxy-17-methylandrost-4-en-3-one
C10H18O	C17125	(-)-Isomenthone
C12H8O	C07729	Dibenzofuran
C30H42O	C06733	8'-apo-beta-Carotenol
C7H12O2	C13714	alpha-EMGBL
C30H18O10	C10017	Agathisflavone
C27H32O3	C14645	Estradiol-17-phenylpropionate
C10H14N5O8P	C18239	Precursor Z
C13H17F3N4O4	C18884	Prodiamine
C15H14N4O6S2	C08117	Ceftibuten
C10H12Cl2O2	C19349	1,4-Bis(chloromethoxymethyl)benzene
C39H61NO10	C15709	Spinosyn P
C2H6ClO3P	C18399	Ethephon
C6H10N2O6S	C16842	SQ 26180
C11H15Cl2NO	C11772	DCI
C5H9NO4	C05941	2-Oxo-4-hydroxy-5-aminovalerate
C4H8O2S2	C04371	3-Sulfanyl-2-(sulfanylmethyl)propanoate
C8H15N2O9P	C04376	5'-Phosphoribosyl-N-formylglycinamide
C13H25NO2S2	C05118	S-(2-Methylbutanoyl)-dihydrolipoamide
C20H18O6	C10207	Cyclokievitone
C16H10O	C18254	Pyrene-4,5-oxide
C12H14O4	C14175	Diethyl phthalate
C15H22O3	C09711	Piperdial
C14H13NO4	C10701	Kokusaginine
C12H22O11	C01518	Nigerose
C19H12O4	C12397	Tetrangulol
C10H16N2O5S	C20387	Biotin sulfone
